title,subTitle,desc,primaryLocation,secondaryLocation,startHour,duration
Services,Cassy Haskins,congue etiam justo etiam pretium iaculis justo in hac,N,103,11,4
Engineering,Ario Van Der Weedenburg,lectus vestibulum quam sapien varius ut blandit non,L,102,7,2
Training,Damon Butson,posuere cubilia curae mauris viverra,N,104,8,2
Training,Fayette Hackford,placerat praesent blandit nam nulla integer,L,202,8,4
Legal,Eben Isted,in faucibus orci luctus et ultrices,L,302,13,2
Legal,Tate Cootes,in quam fringilla rhoncus mauris,N,204,9,2
Marketing,Diena Fortie,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,L,208,11,4
Sales,Perl Muff,leo rhoncus sed vestibulum sit,N,104,9,4
Research and Development,Seline Adanet,ante ipsum primis in faucibus orci,L,208,9,2
Legal,Dot Yaus,quam fringilla rhoncus mauris enim leo,L,205,8,4
Training,Paula Tunstall,vel augue vestibulum ante ipsum primis in faucibus orci,N,204,7,2
Business Development,Mickey Byrch,lectus in est risus auctor sed tristique in tempus sit,L,202,12,2
Product Management,Nadia Loughlan,non quam nec dui luctus rutrum nulla tellus in sagittis,L,103,10,4
Product Management,Merry Thwaites,pretium iaculis justo in hac habitasse,L,108,9,2
Support,Arleen Lippett,consequat metus sapien ut nunc vestibulum ante ipsum,N,108,11,2
Support,Alric Evenett,iaculis justo in hac habitasse platea dictumst,N,102,8,4
Product Management,Eran Alvin,congue risus semper porta volutpat quam pede lobortis ligula,N,102,8,2
Business Development,Lynnet Kubat,sem praesent id massa id nisl venenatis,N,207,12,2
Research and Development,Findley Pautard,consequat lectus in est risus auctor sed,N,310,8,2
Engineering,Bernhard Giffard,posuere cubilia curae nulla dapibus dolor vel est donec,N,205,8,2
Legal,Kilian Elland,vestibulum eget vulputate ut ultrices vel augue,N,210,7,2
Business Development,Muffin Carncross,nulla sed vel enim sit amet nunc,N,104,7,2
Human Resources,Pepito Stert,ac neque duis bibendum morbi,N,201,9,2
Product Management,Samson Shellard,nulla suspendisse potenti cras in,L,204,9,4
Accounting,Kamilah Stoaks,gravida sem praesent id massa id nisl venenatis lacinia,N,201,8,2
Accounting,Tamar Houseley,lectus in quam fringilla rhoncus mauris enim leo rhoncus,L,202,7,2
Engineering,Justen Timpany,curae duis faucibus accumsan odio curabitur convallis,N,203,11,2
Legal,Elga Kersey,quam sollicitudin vitae consectetuer eget rutrum,L,302,9,2
Product Management,Devonne Harley,diam cras pellentesque volutpat dui,N,207,11,4
Accounting,Jennilee Gillyatt,et ultrices posuere cubilia curae duis,N,207,10,4
Legal,Winnie MacNamara,rutrum rutrum neque aenean auctor gravida sem,N,308,10,2
Accounting,Quinn Doohan,semper rutrum nulla nunc purus phasellus,L,302,8,2
Legal,Jerrold Oxx,mollis molestie lorem quisque ut erat curabitur,N,102,11,2
Marketing,Clifford Gainsborough,id nisl venenatis lacinia aenean sit,N,108,12,4
Legal,Christoph Godspede,urna ut tellus nulla ut erat,N,209,8,2
Services,Celie Chifney,nisi volutpat eleifend donec ut dolor morbi vel lectus in,L,207,13,4
Product Management,Cathee Garraway,proin risus praesent lectus vestibulum quam sapien varius ut blandit,N,102,8,2
Product Management,Ravi Pinnington,aenean fermentum donec ut mauris,L,101,10,2
Product Management,Yulma Tydeman,sed ante vivamus tortor duis mattis egestas metus,N,204,8,4
Services,Dev Poupard,justo aliquam quis turpis eget elit sodales,L,308,11,4
Training,Lana Silverwood,non velit nec nisi vulputate nonummy,N,103,11,2
Support,Britt Compton,duis bibendum felis sed interdum,L,205,11,4
Marketing,Carol-jean Darco,pulvinar sed nisl nunc rhoncus dui vel sem,L,208,10,4
Services,Christan Sparshutt,curabitur convallis duis consequat dui nec nisi volutpat,L,101,10,4
Sales,Chrissie Mussetti,viverra pede ac diam cras,L,206,11,4
Sales,Roobbie Zecchinii,in faucibus orci luctus et ultrices,N,209,12,4
Human Resources,Doy Milmore,tortor quis turpis sed ante vivamus tortor duis mattis,L,208,7,4
Support,Ibrahim Ackenson,suspendisse ornare consequat lectus in est risus,N,202,10,2
Research and Development,Nate Althorp,molestie hendrerit at vulputate vitae nisl aenean,N,103,13,2
